experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,2154,Sort,0.00016471000853925943,4.3433207458572953e-05,0.2636950106660971
Exp3,2310,Quick Sort,0.0028722999850288033,0.0005342211350049148,0.18599071747011747
Exp3,2310,Quick Sort 3-Way,0.0035007299855351454,0.00041526387749204194,0.11862208145383765
Exp3,2310,Counting Sort,0.018285999982617793,0.0033804621283790035,0.1848661342881103
Exp3,2310,Merge Sort,0.004722769989166408,0.0014333510358980072,0.30349795547654873
Exp3,2310,Sort,0.00028075998416170477,0.00014610736716878325,0.5203995419968116
Exp3,2477,Quick Sort,0.0069244900136254724,0.0025813865062199242,0.37279084829936543
Exp3,2477,Quick Sort 3-Way,0.003754680010024458,0.00045205825049362137,0.12039860901240333
Exp3,2477,Counting Sort,0.01857662001857534,0.0027652835341664436,0.1488582708480526
Exp3,2477,Merge Sort,0.00428649001987651,0.0007666446579497631,0.1788513805922379
Exp3,2477,Sort,0.00028237999649718395,0.0003338391824923026,1.1822338219188688
Exp3,2656,Quick Sort,0.004227740003261715,0.001236412808704852,0.2924524232216162
Exp3,2656,Quick Sort 3-Way,0.004946519993245602,0.0009508211590594981,0.19222021953976332
Exp3,2656,Counting Sort,0.019972439995035528,0.0036621559914027995,0.1833604703437881
Exp3,2656,Merge Sort,0.005747249978594482,0.0017406989867488909,0.30287511300745396
Exp3,2656,Sort,0.000314659986179322,4.2135582485334105e-05,0.13390829573519844
Exp3,2848,Quick Sort,0.003951560007408261,0.001217212600909416,0.30803343454924736
Exp3,2848,Quick Sort 3-Way,0.0046354099875316026,0.0007622238548840509,0.16443504607667767
Exp3,2848,Counting Sort,0.01771296003134921,0.0020019179518229267,0.1130199553479396
Exp3,2848,Merge Sort,0.005910620000213385,0.0015116188034164008,0.255746233620471
Exp3,2848,Sort,3.840064164251002e-06,0.00020691349686369453,53.88282278977301
Exp3,3053,Quick Sort,0.004144309996627271,0.00011924502147923248,0.02877319060984257
Exp3,3053,Quick Sort 3-Way,0.005202250019647181,0.0013350735204840534,0.2566338633172034
Exp3,3053,Counting Sort,0.01957298001507297,0.0044205091347232555,0.22584752711743752
Exp3,3053,Merge Sort,0.006349900015629828,0.0017924864908752704,0.2822857818962806
Exp3,3053,Sort,0.0009257299941964447,0.0007294667935706757,0.7879908808657214
Exp3,3274,Quick Sort,0.003768920002039522,7.867682870199798e-05,0.02087516547430633
Exp3,3274,Quick Sort 3-Way,0.005014150007627905,0.0009529241089062915,0.1900469885138321
Exp3,3274,Counting Sort,0.01652608000440523,0.001716540056722576,0.10386855541453333
Exp3,3274,Merge Sort,0.005076580017339438,0.00011661983460249209,0.022972125762652878
Exp3,3274,Sort,-0.00020056000212207445,4.480455339900769e-05,0.0
Exp3,3511,Quick Sort,0.004597640002612024,0.0012337052148492296,0.26833445292548647
Exp3,3511,Quick Sort 3-Way,0.005912940006237477,0.0012455600076609796,0.21064986391660595
Exp3,3511,Counting Sort,0.022232009971048683,0.008616854171088605,0.38758772519038004
Exp3,3511,Merge Sort,0.005824759975075722,0.0006103766311652603,0.10479000573020614
Exp3,3511,Sort,5.6069996207952585e-05,9.477370540864691e-05,1.6902748674558472
Exp3,3764,Quick Sort,0.005496679979842156,0.0011182703509035117,0.20344468934056886
Exp3,3764,Quick Sort 3-Way,0.00630636002169922,0.0008644578639131599,0.13707715083482272
Exp3,3764,Counting Sort,0.024620099982712418,0.006513898216756542,0.2645764323187326
Exp3,3764,Merge Sort,0.006839910021517426,0.0007716261747020353,0.11281232827253639
Exp3,3764,Sort,0.00022014003479853272,0.00011569606527038768,0.5255566774860836
Exp3,4037,Quick Sort,0.005379389971494674,0.000768323821012647,0.14282731407910304
Exp3,4037,Quick Sort 3-Way,0.007412419992033392,0.0010768496573328068,0.14527639535943282
Exp3,4037,Counting Sort,0.017131789983250205,0.0022759139239394506,0.13284740976655782
Exp3,4037,Merge Sort,0.0067163099884055555,0.001105328401019946,0.16457376192106787
Exp3,4037,Sort,0.0005918399780057369,0.0008612665656911209,1.4552355327418798
Exp3,4328,Quick Sort,0.0067596399807371196,0.0018641313712468735,0.27577376554950717
Exp3,4328,Quick Sort 3-Way,0.008167519979178906,0.001805827924799993,0.22109868471745517
Exp3,4328,Counting Sort,0.01739965999731794,0.0009576691107342078,0.05503953013345244
Exp3,4328,Merge Sort,0.008243299985770136,0.0006060736682891489,0.07352318480892044
Exp3,4328,Sort,0.0006966599961742759,5.766514677279828e-05,0.08277373049904937
Exp3,4641,Quick Sort,0.007048240012954919,0.0009515387261592377,0.13500373489130268
Exp3,4641,Quick Sort 3-Way,0.008479950006585567,0.0011443050331944255,0.1349424268192328
Exp3,4641,Counting Sort,0.02162361000664532,0.0037170063861469566,0.1718957373447197
Exp3,4641,Merge Sort,0.01004011003533378,0.0022710431005596,0.22619703295752772
Exp3,4641,Sort,0.0007664100034162402,8.485337722515977e-05,0.11071538321124388
Exp3,4977,Quick Sort,0.007650680013466628,0.0013823192561331283,0.180679266901764
